Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
96,Wellalage,Hardik Pandya,,full,outside,0,0,0,flick,"Hardik Pandya to Wellalage, no run, nice delivery and Hardik Pandya follows through near Wellalage after beating him"
97,Wellalage,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Wellalage, no run, full outside off, moving away, left alone"
98,Wellalage,Hardik Pandya,,full,outside,0,0,0,flick,"Hardik Pandya to Wellalage, no run, fullish outside off, angling away from Wellalage who hides the bat inside the pad to leave"
99,Dhananjaya,Hardik Pandya,,full,outside,0,0,1,late cut,"Hardik Pandya to Dhananjaya, 1 run, good length just outside off, Dhananjaya runs it down to third man"
100,Dhananjaya,Hardik Pandya,,full,straight,0,0,0,flick,"Hardik Pandya to Dhananjaya, no run, beautiful delivery"
101,Wellalage,Hardik Pandya,,full,outside,0,0,1,flick,"Hardik Pandya to Wellalage, 1 run, slower ball off-cutter on a length on the stumps, Wellalage runs it down to third man"
102,Wellalage,Kuldeep Yadav,,full,outside,0,0,2,cut,"Kuldeep Yadav to Wellalage, 2 runs, right in between three fielders at deep mid-wicket"
103,Wellalage,Kuldeep Yadav,,full,outside,0,0,0,flick,"Kuldeep Yadav to Wellalage, no run, tossed up fullish on the stumps, Wellalage goes on the back foot and nudges to slip, did not pick it off the hand, did so off the pitch"
104,Wellalage,Kuldeep Yadav,,full,outside,0,0,6,cover drive,"Kuldeep Yadav to Wellalage, SIX, wow, Look at that shot and look at the reaction from Kuldeep Yadav who goes - that was good, The slogsweep from the stumps and clears the deep mid-wicket fence with ease"
105,Wellalage,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Wellalage, no run, confusion between both but all's well in the end"
106,Wellalage,Kuldeep Yadav,,full,outside,0,0,2,cover drive,"Kuldeep Yadav to Wellalage, 2 runs, this is short and wide outside off, cut wide of sweeper cover for two"
107,Wellalage,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Wellalage, no run, Wellalage wanted to come down or at least feigned to do so, but the length is shortened and the ball turns past the bat"
108,Wellalage,Kuldeep Yadav,,full,straight,0,0,1,flick,"Kuldeep Yadav to Wellalage, 1 run, Wellalage comes down the track and pushes it past Kuldeep Yadav for one"
109,Wellalage,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Wellalage, no run, slower and spin outside off, Wellalage looks to punch and misses"
110,Wellalage,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Wellalage, no run, fullish on off, steered to backward point"
111,Wellalage,Kuldeep Yadav,,full,outside,0,0,2,cover drive,"Kuldeep Yadav to Wellalage, 2 runs, short and wide outside off, cut wide of sweeper cover and it's an easy two"
112,Wellalage,Kuldeep Yadav,,full,straight,0,0,4,flick,"Kuldeep Yadav to Wellalage, FOUR, Wellalage is not going to hang back"
113,Dhananjaya,Kuldeep Yadav,,full,outside,0,0,1,defend,"Kuldeep Yadav to Dhananjaya, 1 run, flat good length on the stumps, Dhananjaya sinks low and smites to deep square leg"
114,Dhananjaya,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Dhananjaya, leg byes, 1 run, sliding down leg, Dhananjaya flicks and misses, off the pad for a legbye"
115,Dhananjaya,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Dhananjaya, no run, another flatter delivery on the stumps, turned to square leg"
116,Dhananjaya,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Dhananjaya, no run, flat good length on the stumps, defended off the back foot to mid-wicket"
117,Shanaka,Kuldeep Yadav,,full,outside,0,0,1,off drive,"Kuldeep Yadav to Shanaka, 1 run, flat length delivery on off, Shanaka goes on the back foot to punch to long-on"
118,Shanaka,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Shanaka, no run, Shanaka is very lucky"
119,Shanaka,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Shanaka, no run, superb delivery, tossed up and goes the other way outside off as Shanaka going back to defend is beaten"
120,Dhananjaya,Kuldeep Yadav,,full,straight,0,0,0,cut,"Kuldeep Yadav to Dhananjaya, no run, tossed up on off, Dhananjaya defends to the off-side"
121,Dhananjaya,Kuldeep Yadav,,full,outside,0,0,2,defend,"Kuldeep Yadav to Dhananjaya, 2 runs, leg-lined delivery, Dhananjaya nurdles it backward of square leg and scampers back for the second"
122,Dhananjaya,Kuldeep Yadav,,full,outside,0,0,2,defend,"Kuldeep Yadav to Dhananjaya, 2 runs, slower and turns in, Dhananjaya goes for the sweep and the top-edge balloons over leg slip, Jadeja tidies up"
123,Dhananjaya,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Dhananjaya, no run, drifts across off, Dhananjaya attempts the sweep and plays over it, beaten on the under-edge"
124,Dhananjaya,Kuldeep Yadav,,full,straight,0,0,0,cut,"Kuldeep Yadav to Dhananjaya, no run, flighted on off, Dhananjaya prods forward and defends"
125,Dhananjaya,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Dhananjaya, no run, fraction short and Dhananjaya misses the flick to the leg-side, struck high on the pad"
